"Date Printed: Wednesday, August 29, 2018 10:36:44 AM"
Title: Primary and Secondary Syphilis | Chlamydia | Gonorrhea | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Asian | Black/African American | Hispanic/Latino | White | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,Race/Ethnicity,Cases,Rate per 100000
"Chlamydia","2000","Alabama","Asian","Data not available","Data not available"
"Chlamydia","2000","Alabama","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Alabama","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Alabama","White","Data not available","Data not available"
"Chlamydia","2000","Alaska","Asian","Data not available","Data not available"
"Chlamydia","2000","Alaska","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Alaska","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Alaska","White","Data not available","Data not available"
"Chlamydia","2000","Arizona","Asian","Data not available","Data not available"
"Chlamydia","2000","Arizona","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Arizona","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Arizona","White","Data not available","Data not available"
"Chlamydia","2000","Arkansas","Asian","Data not available","Data not available"
"Chlamydia","2000","Arkansas","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Arkansas","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Arkansas","White","Data not available","Data not available"
"Chlamydia","2000","California","Asian","Data not available","Data not available"
"Chlamydia","2000","California","Black/African American","Data not available","Data not available"
"Chlamydia","2000","California","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","California","White","Data not available","Data not available"
"Chlamydia","2000","Colorado","Asian","Data not available","Data not available"
"Chlamydia","2000","Colorado","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Colorado","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Colorado","White","Data not available","Data not available"
"Chlamydia","2000","Connecticut","Asian","Data not available","Data not available"
"Chlamydia","2000","Connecticut","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Connecticut","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Connecticut","White","Data not available","Data not available"
"Chlamydia","2000","Delaware","Asian","Data not available","Data not available"
"Chlamydia","2000","Delaware","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Delaware","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Delaware","White","Data not available","Data not available"
"Chlamydia","2000","District of Columbia","Asian","Data not available","Data not available"
"Chlamydia","2000","District of Columbia","Black/African American","Data not available","Data not available"
"Chlamydia","2000","District of Columbia","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","District of Columbia","White","Data not available","Data not available"
"Chlamydia","2000","Florida","Asian","Data not available","Data not available"
"Chlamydia","2000","Florida","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Florida","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Florida","White","Data not available","Data not available"
"Chlamydia","2000","Georgia","Asian","Data not available","Data not available"
"Chlamydia","2000","Georgia","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Georgia","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Georgia","White","Data not available","Data not available"
"Chlamydia","2000","Hawaii","Asian","Data not available","Data not available"
"Chlamydia","2000","Hawaii","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Hawaii","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Hawaii","White","Data not available","Data not available"
"Chlamydia","2000","Idaho","Asian","Data not available","Data not available"
"Chlamydia","2000","Idaho","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Idaho","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Idaho","White","Data not available","Data not available"
"Chlamydia","2000","Illinois","Asian","Data not available","Data not available"
"Chlamydia","2000","Illinois","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Illinois","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Illinois","White","Data not available","Data not available"
"Chlamydia","2000","Indiana","Asian","Data not available","Data not available"
"Chlamydia","2000","Indiana","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Indiana","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Indiana","White","Data not available","Data not available"
"Chlamydia","2000","Iowa","Asian","Data not available","Data not available"
"Chlamydia","2000","Iowa","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Iowa","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Iowa","White","Data not available","Data not available"
"Chlamydia","2000","Kansas","Asian","Data not available","Data not available"
"Chlamydia","2000","Kansas","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Kansas","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Kansas","White","Data not available","Data not available"
"Chlamydia","2000","Kentucky","Asian","Data not available","Data not available"
"Chlamydia","2000","Kentucky","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Kentucky","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Kentucky","White","Data not available","Data not available"
"Chlamydia","2000","Louisiana","Asian","Data not available","Data not available"
"Chlamydia","2000","Louisiana","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Louisiana","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Louisiana","White","Data not available","Data not available"
"Chlamydia","2000","Maine","Asian","Data not available","Data not available"
"Chlamydia","2000","Maine","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Maine","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Maine","White","Data not available","Data not available"
"Chlamydia","2000","Maryland","Asian","Data not available","Data not available"
"Chlamydia","2000","Maryland","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Maryland","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Maryland","White","Data not available","Data not available"
"Chlamydia","2000","Massachusetts","Asian","Data not available","Data not available"
"Chlamydia","2000","Massachusetts","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Massachusetts","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Massachusetts","White","Data not available","Data not available"
"Chlamydia","2000","Michigan","Asian","Data not available","Data not available"
"Chlamydia","2000","Michigan","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Michigan","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Michigan","White","Data not available","Data not available"
"Chlamydia","2000","Minnesota","Asian","Data not available","Data not available"
"Chlamydia","2000","Minnesota","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Minnesota","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Minnesota","White","Data not available","Data not available"
"Chlamydia","2000","Mississippi","Asian","Data not available","Data not available"
"Chlamydia","2000","Mississippi","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Mississippi","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Mississippi","White","Data not available","Data not available"
"Chlamydia","2000","Missouri","Asian","Data not available","Data not available"
"Chlamydia","2000","Missouri","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Missouri","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Missouri","White","Data not available","Data not available"
"Chlamydia","2000","Montana","Asian","Data not available","Data not available"
"Chlamydia","2000","Montana","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Montana","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Montana","White","Data not available","Data not available"
"Chlamydia","2000","Nebraska","Asian","Data not available","Data not available"
"Chlamydia","2000","Nebraska","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Nebraska","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Nebraska","White","Data not available","Data not available"
"Chlamydia","2000","Nevada","Asian","Data not available","Data not available"
"Chlamydia","2000","Nevada","Black/African American","Data not available","Data not available"
"Chlamydia","2000","Nevada","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","Nevada","White","Data not available","Data not available"
"Chlamydia","2000","New Hampshire","Asian","Data not available","Data not available"
"Chlamydia","2000","New Hampshire","Black/African American","Data not available","Data not available"
"Chlamydia","2000","New Hampshire","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","New Hampshire","White","Data not available","Data not available"
"Chlamydia","2000","New Jersey","Asian","Data not available","Data not available"
"Chlamydia","2000","New Jersey","Black/African American","Data not available","Data not available"
"Chlamydia","2000","New Jersey","Hispanic/Latino","Data not available","Data not available"
"Chlamydia","2000","New Jersey","White","Data not available","Data not available"
"Chlamydia","2000","New Mexico","Asian","Data not available","Data not available"
